player,mat,runs,ball,M,_4s,_6s,strike_rate
379143,1122280,20,36,54,2,0,55.55
600498,1122280,8,11,15,1,0,72.72
44932,1122280,25,39,59,2,0,64.1
321777,1122280,0,4,2,0,0,0.0
318842,1122280,25,45,45,2,0,55.55
439952,1122280,14,10,29,1,1,140.0
550215,1122280,1,5,4,0,0,20.0
46538,1122280,1,4,5,0,0,25.0
40618,1122280,0,7,5,0,0,0.0
379145,1122280,0,1,4,0,0,0.0
43906,1122281,1,2,5,0,0,50.0
600498,1122281,32,42,64,2,1,76.19
44932,1122281,51,67,83,4,0,76.11
436757,1122281,6,12,13,1,0,50.0
321777,1122281,25,42,53,1,0,59.52
318842,1122281,17,38,64,0,0,44.73
439952,1122281,14,10,16,1,0,140.0
540316,1122281,3,8,11,0,0,37.5
550215,1122281,12,7,18,1,1,171.42
40618,1122281,8,6,4,2,0,133.33
542023,1122281,6,6,6,1,0,100.0
600498,1122282,22,23,30,3,0,95.65
43906,1122282,33,40,59,4,0,82.5
44932,1122282,10,14,19,0,0,71.42
44936,1122282,26,18,24,1,2,144.44
321777,1122282,39,28,51,4,2,139.28
436757,1122282,43,27,49,5,1,159.25
540316,1122282,23,5,11,1,3,460.0
43906,1122283,71,92,151,5,0,77.17
600498,1122283,32,32,40,4,1,100.0
44932,1122283,1,5,7,0,0,20.0
44936,1122283,6,7,8,0,0,85.71
321777,1122283,36,51,56,2,1,70.58
436757,1122283,39,42,72,2,2,92.85
540316,1122283,0,3,4,0,0,0.0
550215,1122283,3,17,26,0,0,17.64
46538,1122283,1,3,8,0,0,33.33
379145,1122283,0,1,2,0,0,0.0
542023,1122283,4,1,2,1,0,400.0
600498,1122284,24,30,41,3,1,80.0
43906,1122284,10,19,25,2,0,52.63
44936,1122284,30,34,61,4,0,88.23
318842,1122284,54,74,119,3,2,72.97
436757,1122284,22,40,38,3,0,55.0
44410,1122284,1,5,5,0,0,20.0
439952,1122284,4,8,13,0,0,50.0
540316,1122284,34,42,64,2,2,80.95
46538,1122284,20,19,29,0,2,105.26
40618,1122284,2,8,10,0,0,25.0
542023,1122284,0,2,7,0,0,0.0
43906,1142584,19,14,0,3,0,135.71
379143,1142584,47,59,0,4,1,79.66
600498,1142584,0,1,0,0,0,0.0
44828,1142584,47,56,0,10,0,83.92
44932,1142584,53,32,0,6,2,165.62
321777,1142584,10,13,0,1,0,76.92
698189,1142584,14,11,0,3,0,127.27
379143,1142585,87,78,0,13,1,111.53
43906,1142585,43,43,0,6,0,100.0
600498,1142585,3,11,0,0,0,27.27
44828,1142585,49,41,0,3,2,119.51
44932,1142585,32,29,0,1,1,110.34
321777,1142585,3,5,0,0,0,60.0
698189,1142585,19,31,0,1,0,61.29
540316,1142585,7,19,0,1,0,36.84
43906,1142586,59,59,0,9,1,100.0
379143,1142586,2,8,0,0,0,25.0
269280,1142586,102,89,0,8,1,114.6
44828,1142586,10,14,0,0,0,71.42
44932,1142586,92,70,0,8,4,131.42
321777,1142586,51,47,0,5,1,108.51
540316,1142586,24,11,0,3,1,218.18
698189,1142586,2,3,0,0,0,66.66
379143,1142587,23,13,0,3,1,176.92
43906,1142587,40,23,0,6,0,173.91
269280,1142587,2,3,0,0,0,66.66
44932,1142587,38,23,0,3,2,165.21
436757,1142587,17,13,0,2,0,130.76
321777,1142587,21,17,0,0,1,123.52
540316,1142587,9,10,0,2,0,90.0
698189,1142587,4,7,0,1,0,57.14
267724,1142587,17,14,0,3,0,121.42
545467,1142587,3,3,0,0,0,100.0
542023,1142587,1,1,0,0,0,100.0
43906,1142588,0,4,0,0,0,0.0
379143,1142588,54,57,0,7,1,94.73
600498,1142588,20,13,0,5,0,153.84
269280,1142588,0,1,0,0,0,0.0
436757,1142588,3,8,0,0,0,37.5
44932,1142588,12,13,0,1,0,92.3
698189,1142588,2,5,0,0,0,40.0
540316,1142588,3,14,0,0,0,21.42
267724,1142588,8,12,0,1,0,66.66
550215,1142588,12,18,0,1,0,66.66
545467,1142588,5,3,0,1,0,166.66
600498,1144146,27,38,42,5,0,71.05
230852,1144146,2,10,13,0,0,20.0
269280,1144146,5,6,13,1,0,83.33
436757,1144146,44,44,59,5,2,100.0
222320,1144146,6,14,16,1,0,42.85
44932,1144146,16,29,41,2,0,55.17
698189,1144146,14,17,13,2,0,82.35
230852,1144147,4,7,8,1,0,57.14
600498,1144147,35,49,63,6,0,71.42
269280,1144147,1,3,5,0,0,33.33
436757,1144147,1,13,23,0,0,7.69
318842,1144147,21,28,58,2,1,75.0
222320,1144147,25,19,23,4,1,131.57
44932,1144147,5,20,25,0,0,25.0
540316,1144147,28,44,80,1,1,63.63
47492,1144147,60,85,92,8,1,70.58
40618,1144147,1,4,4,0,0,25.0
542023,1144147,4,14,25,1,0,28.57
600498,1144148,42,40,46,7,0,105.0
269280,1144148,66,82,117,5,1,80.48
44828,1144148,26,25,29,2,0,104.0
44932,1144148,1,11,10,0,0,9.09
436757,1144148,59,67,80,6,1,88.05
318842,1144148,25,39,64,1,0,64.1
540316,1144148,0,9,11,0,0,0.0
47492,1144148,4,3,2,1,0,133.33
379143,1144986,47,40,0,7,0,117.5
269280,1144986,44,74,0,4,0,59.45
600498,1144986,36,32,0,6,0,112.5
44828,1144986,10,24,0,0,0,41.66
436757,1144986,2,5,0,0,0,40.0
