player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
439952,1022367,8.0,0,40,0,5.0,27,5,0,1,0
40618,1022367,6.0,0,37,1,6.16,17,6,0,0,0
44932,1022367,3.0,0,17,0,5.66,7,0,1,0,0
550215,1075504,10.0,1,43,4,4.3,43,3,2,5,0
327947,1075504,9.0,0,69,0,7.66,29,9,3,0,0
40618,1075504,10.0,0,45,1,4.5,31,5,0,0,0
327830,1075504,10.0,0,48,2,4.8,30,5,0,1,0
540316,1075504,10.0,0,60,0,6.0,24,5,1,4,0
44932,1075504,1.0,0,8,0,8.0,1,1,0,0,0
550215,1075505,9.0,1,40,0,4.44,34,3,1,2,0
327947,1075505,8.5,0,67,1,7.58,23,10,0,1,0
327830,1075505,10.0,0,48,2,4.8,31,3,1,2,0
540316,1075505,10.0,1,40,4,4.0,34,2,0,3,0
40618,1075505,10.0,0,50,3,5.0,29,3,1,1,0
550215,1075506,8.0,1,33,1,4.12,31,4,0,2,0
327947,1075506,9.0,0,44,3,4.88,37,7,0,1,0
698189,1075506,8.0,0,32,1,4.0,28,3,0,1,1
540316,1075506,4.0,1,13,1,3.25,14,1,0,0,0
40618,1075506,8.4,1,27,2,3.11,36,3,0,1,0
600498,1075506,3.0,0,18,2,6.0,11,3,0,0,0
46538,1122279,7.0,0,35,1,5.0,26,4,1,1,0
550215,1122279,9.3,0,48,0,5.05,29,6,0,0,0
439952,1122279,7.0,0,52,0,7.42,18,5,1,2,0
40618,1122279,10.0,0,51,0,5.1,21,2,1,0,0
540316,1122279,8.0,0,42,2,5.25,23,4,0,2,0
44932,1122279,2.0,0,16,0,8.0,3,2,0,1,0
600498,1122279,2.0,0,20,0,10.0,2,1,0,1,0
46538,1122280,4.0,0,30,0,7.5,14,4,1,3,0
550215,1122280,5.0,0,24,1,4.8,21,3,1,1,0
439952,1122280,3.0,0,16,0,5.33,11,2,0,1,0
40618,1122280,5.3,0,30,0,5.45,14,2,0,1,0
379145,1122280,3.0,1,18,0,6.0,12,4,0,0,0
550215,1122281,10.0,1,54,1,5.4,33,5,1,3,0
542023,1122281,6.0,0,47,0,7.83,14,7,0,2,0
439952,1122281,9.0,0,45,1,5.0,23,2,1,1,0
540316,1122281,6.0,0,42,1,7.0,14,4,0,5,0
40618,1122281,9.0,0,52,1,5.77,18,5,0,0,0
44932,1122281,10.0,0,60,2,6.0,19,2,1,0,0
46538,1122282,10.0,0,55,1,5.5,34,6,1,4,0
550215,1122282,10.0,0,58,2,5.8,31,3,1,3,0
542023,1122282,10.0,0,52,2,5.2,29,4,1,1,0
439952,1122282,10.0,0,60,1,6.0,31,9,0,2,0
540316,1122282,6.0,0,38,0,6.33,15,2,1,2,0
44932,1122282,4.0,0,20,0,5.0,8,1,0,0,0
46538,1122283,10.0,2,44,0,4.4,40,7,0,1,0
550215,1122283,9.0,0,58,1,6.44,26,7,1,1,0
542023,1122283,9.0,1,51,4,5.66,26,5,1,2,0
540316,1122283,8.0,0,34,0,4.25,25,2,0,1,0
44932,1122283,4.0,0,29,0,7.25,11,3,1,2,0
379145,1122283,10.0,0,48,0,4.8,27,2,1,0,0
46538,1122284,7.0,0,42,0,6.0,24,7,0,2,0
542023,1122284,8.0,1,54,2,6.75,24,8,0,3,0
439952,1122284,6.0,0,36,0,6.0,20,5,0,0,0
540316,1122284,4.0,0,27,0,6.75,12,4,0,0,0
40618,1122284,7.1,0,42,0,5.86,21,3,2,0,0
550215,1142584,8.0,0,41,4,5.12,32,4,0,3,0
542023,1142584,8.0,1,29,1,3.62,34,3,0,4,0
698189,1142584,3.0,0,34,0,11.33,3,4,0,1,2
540316,1142584,3.0,0,30,0,10.0,4,5,0,1,0
379145,1142584,8.3,0,33,4,3.88,36,5,0,0,0
44932,1142584,4.0,0,22,0,5.5,11,1,1,0,0
550215,1142585,9.0,1,48,1,5.33,32,6,0,4,0
542023,1142585,8.0,1,50,3,6.25,24,7,0,2,0
698189,1142585,7.0,0,26,1,3.71,24,2,0,0,0
540316,1142585,9.0,0,45,3,5.0,28,4,0,2,0
44932,1142585,7.0,0,30,0,4.28,21,2,0,1,0
379145,1142585,10.0,0,43,0,4.3,31,4,0,0,0
550215,1142586,8.0,0,34,0,4.25,25,1,1,1,0
542023,1142586,8.2,0,57,4,6.84,28,8,1,2,0
540316,1142586,9.0,0,74,3,8.22,25,7,3,4,0
698189,1142586,6.0,0,34,1,5.66,17,3,0,1,0
379145,1142586,10.0,0,62,2,6.2,29,9,0,2,0
44932,1142586,4.0,0,24,0,6.0,9,2,0,0,0
542023,1142587,8.0,0,65,2,8.12,21,9,2,1,0
545467,1142587,8.0,0,64,0,8.0,23,7,2,3,1
540316,1142587,6.0,0,45,1,7.5,14,3,2,3,0
44932,1142587,6.0,0,35,2,5.83,17,1,2,0,0
698189,1142587,6.0,0,51,1,8.5,16,5,2,4,0
267724,1142587,5.0,0,37,1,7.4,11,2,2,1,0
550215,1142588,10.0,0,47,1,4.7,35,3,1,1,2
545467,1142588,9.0,0,57,1,6.33,23,6,0,2,0
698189,1142588,8.0,0,59,2,7.37,23,8,0,3,1
540316,1142588,8.0,0,60,2,7.5,21,10,0,1,0
267724,1142588,10.0,0,32,1,3.2,34,0,1,0,0
44932,1142588,5.0,0,29,0,5.8,14,2,1,0,0
550215,1144146,8.0,2,34,2,4.25,37,7,0,2,0
542023,1144146,8.1,1,19,3,2.32,38,2,0,1,0
698189,1144146,6.0,0,19,1,3.16,26,2,0,1,0
540316,1144146,7.0,2,22,2,3.14,30,3,0,0,0
40618,1144146,5.0,1,23,2,4.6,22,5,0,0,0
47492,1144147,6.0,0,19,2,3.16,25,1,1,0,0
542023,1144147,7.0,1,26,1,3.71,27,3,0,0,0
540316,1144147,5.0,1,7,1,1.4,24,0,0,0,0
40618,1144147,6.0,1,24,6,4.0,25,3,0,2,0
47492,1144148,9.3,1,29,3,3.05,42,4,0,0,0
40618,1144148,10.0,1,44,2,4.4,36,5,0,1,0
550215,1144148,10.0,1,32,3,3.2,45,3,0,3,0
379145,1144148,10.0,0,72,0,7.2,26,9,1,1,0
540316,1144148,6.0,0,34,2,5.66,20,5,0,2,0
44932,1144148,4.0,1,14,0,3.5,16,2,0,0,0
47492,1144986,7.0,1,18,2,2.57,32,0,0,0,0
542023,1144986,8.1,3,26,2,3.18,36,4,0,0,0
550215,1144986,8.0,0,30,0,3.75,35,5,0,0,0
540316,1144986,6.0,0,33,3,5.5,21,2,1,3,0
40618,1144986,9.0,0,39,2,4.33,37,5,0,0,0
47492,1144987,10.0,1,31,2,3.1,40,2,0,0,0
542023,1144987,9.0,0,67,1,7.44,23,9,0,2,0
550215,1144987,9.3,0,54,4,5.68,31,4,1,0,0
327830,1144987,10.0,0,32,3,3.2,38,1,1,0,0
40618,1144987,10.0,1,38,0,3.8,37,4,0,0,0
47492,1144988,10.0,0,45,3,4.5,37,3,1,3,0
542023,1144988,10.0,0,56,1,5.6,30,5,1,1,0
550215,1144988,10.0,3,40,3,4.0,38,2,1,3,0
40618,1144988,7.0,0,58,0,8.28,13,4,3,1,0
327830,1144988,10.0,0,61,2,6.1,27,3,3,0,0
600498,1144988,3.0,0,18,0,6.0,6,2,0,0,0
550215,1144156,9.1,1,51,0,5.56,26,3,2,0,0
486679,1144156,10.0,0,73,2,7.3,30,11,1,2,0
327830,1144156,10.0,0,42,0,4.2,34,3,1,0,0
540316,1144156,7.0,0,43,1,6.14,15,4,0,2,0
40618,1144156,10.0,0,44,1,4.4,25,1,1,0,0
269280,1144156,3.0,0,13,1,4.33,8,1,0,0,0
550215,1144157,9.0,1,35,2,3.88,37,3,1,2,0
327947,1144157,8.0,1,37,0,4.62,30,4,0,2,0
486679,1144157,9.0,0,51,1,5.66,22,3,1,1,0
540316,1144157,9.5,2,22,4,2.23,47,1,1,1,0
379145,1144157,10.0,0,56,3,5.6,28,4,1,1,0
47492,1144158,10.0,0,43,2,4.3,38,6,0,2,0
379927,1144158,9.0,0,50,1,5.55,27,5,0,2,0
550215,1144158,10.0,0,57,2,5.7,23,6,0,0,0
540316,1144158,10.0,0,71,0,7.1,17,6,0,5,0
379145,1144158,9.0,0,75,1,8.33,15,7,1,2,0
269280,1144158,2.0,0,21,0,10.5,2,2,1,0,0
47492,1144159,5.0,0,26,0,5.2,20,4,0,1,0
379927,1144159,7.0,0,31,0,4.42,25,3,0,2,0
550215,1144159,5.0,0,29,0,5.8,15,4,0,0,0
40618,1144159,10.0,1,51,1,5.1,27,2,1,2,0
540316,1144159,2.3,0,17,1,6.8,6,2,0,2,0
269280,1144159,2.0,0,13,0,6.5,3,1,0,0,0
